time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Deprecation and amortization,Gross profit
2002-01-02T07:00:00Z,4500,4650,4500,4505,2599727,NaN,NaN,NaN,NaN,NaN
2003-01-02T07:00:00Z,4600,5880,3531.0002,5800,821243365,NaN,NaN,NaN,NaN,NaN
2004-01-02T07:00:00Z,5800,7507.5,5040,6642,912774553,NaN,13935469751525.559,-9876057122809.635,-1152612585294.6135,4059412628715.911
2005-01-03T07:00:00Z,6625,10438,6380,10390,794218542,NaN,18079319189633.094,-12418453099532.838,-1330814341965.7314,5660866090100.259
2006-01-03T07:00:00Z,10425,14989,9757,12894,979473173,NaN,22796869438995.76,-14920452849632.273,-1761895330323.903,7876416589363.489
2007-01-02T07:00:00Z,12989,26155,12132,20760,1056197580,NaN,36185020613163.98,-19438977538759.273,-2099162613878.489,16746043074404.7
2008-01-02T07:00:00Z,20800,32350,11980,17762,1031015303,NaN,49945434697044.875,-27364888093810.777,-3282778811069.6997,22580546603234.1
2009-01-02T07:00:00Z,18001,24190,15101,23700,946937459,NaN,42621987360059.805,-26437668963555.04,-3546526920203.3345,16184318396504.766
2010-01-04T07:00:00Z,23750,27484,19336,26545,883985799,NaN,38838666158456.19,-23109881738589.727,-3756753438979.425,15728784419866.459
2011-01-03T07:00:00Z,26900,29851,20800,23430,885034873,NaN,52812054778687.78,-25721757955468.48,-4006969907029.6167,27090296823219.297
2012-01-03T07:00:00Z,23778,30138,21921,29289,807510484,NaN,58724990360235.18,-33997009690866.438,-5591501103582.334,24727980669368.746
2013-01-01T07:00:00Z,30698,33041,24508,32389,722794626,NaN,58415179431211.28,-35064341857113.67,-6227421445284.462,23350837574097.613
2014-01-02T07:00:00Z,32500,37718,23510,24868,525046105,NaN,62088904621121.96,-34236295862310.9,-8948756715855.652,27852608758811.062
2015-01-02T07:00:00Z,24900,30139,15400,17394,633166057,NaN,49995840021545.1,-33603485896728.535,-10752757061717.719,16392354124816.57
2016-01-04T07:00:00Z,17232,24621,13630,21868,827115787,NaN,46322455349673.64,-37124498862345.27,-12521688564372.223,9197956487328.36
2017-01-03T07:00:00Z,22055,27684,18500,25055,557370477,NaN,48155464984694.78,-28229617123862.953,-8680910444452.791,19925847860831.832
2018-01-02T07:00:00Z,25225,32673,22577,30377,511723337,NaN,56368368073176.56,-30870663680781.58,-8218235953630.604,25497704392394.98
2019-01-02T07:00:00Z,29799,36900,28000,32978,420062192,NaN,61281346323070.33,-33096742293657.855,-8429506001628.986,28184604029412.473
2020-01-02T07:00:00Z,33178,42354,19505,38906,473098885,NaN,76609757267082.08,-40156282587900.41,-10824690493632.12,36453474679181.68
2021-01-04T07:00:00Z,38907,51529,35840,47438,351683444,707152588.4,81800023764719.47,-32883261780086.652,-7327670300527.133,48916761984632.82
2022-01-03T07:00:00Z,46980,58352,40681,52676,286562963,721350750.2,101542299069918.52,-39598033798103.59,-8758487346425.273,61944265271814.914
2023-01-03T07:00:00Z,52326,62230,51209,51210,115651691,686071166.5,100728016433071.61,-48948084912902.76,-9472554976453.072,51779931520168.84